"","price","rating","reviews","questions","weight"
"1",0.755388085168518,0.886497554439808,0.597360742295929,2.68767094849771,-0.825463120485188
"2",0.0446561080906074,-0.541748505490994,-0.478849447231028,-0.610078906043974,0
"3",0.0258086390663001,0.410415534462874,3.52473657780453,2.1076985814413,-0.415706812844033
"4",-0.709850635753436,0.172374524474408,-0.172862964424634,-0.326836587248983,0
"5",-1.40295110955054,-0.77978951547946,-0.443624199210361,-0.562871852911476,-1.05595104353334
"6",-0.0362056138523884,0.410415534462874,3.06260235377219,1.50075075545203,0
"7",1.82847177398181,-0.77978951547946,-0.417336700687475,-0.320092722515769,0
"8",-0.460577658335178,0.172374524474408,-0.351617954380259,-0.401019099314338,0.211732533231487
"9",0.00756915291374467,-0.303707495502526,-0.380534202755434,-0.704493012308972,0
"10",0,0.410415534462874,-0.367916203464449,-0.475201611379693,2.65746549446463
"11",-0.703770807035918,-0.77978951547946,-0.322175956034627,-0.0570819979204192,0.0452690332522673
"12",0.208203500591855,0.886497554439808,0.215140513773165,1.77724920951381,-0.415706812844033
"13",1.84914927145009,-0.541748505490994,-0.479375197201486,-0.738212335975042,0
"14",-2.04566196293686,-4.58844567529493,-0.498827946108421,0,0
"15",-0.551167106226204,0.410415534462874,-0.362658703759871,-0.299861128316126,-0.825463120485188
"16",0,0,0,0,0
"17",1.04661188073765,-0.303707495502526,-0.391574952135046,-0.488689340846121,0
"18",0.694589797993333,0.410415534462874,-0.451510448767226,-0.771931659641112,0
"19",-1.37255196596295,0.410415534462874,-0.504611195783456,-0.825882577506825,0.621488840872642
"20",0.208203500591855,0.64845654445134,-0.304826207009522,-0.637054364976831,0
"21",-0.186377383175095,0.410415534462874,-0.228592461293152,-0.468457746646479,0
"22",0,0.410415534462874,-0.463076948117296,-0.394275234581124,-0.658999620505969
"23",2.51853841324888,0.64845654445134,-0.35372095426209,1.1028627361924,3.18246576362986
"24",0.0258025592375825,0.64845654445134,1.73613517830735,1.13658205985847,-0.415706812844033
"25",0,0.64845654445134,-0.218603211854456,1.41982437865347,-0.300462851319958
"26",-0.85576652497388,-0.0656664855140599,-0.481478197083317,-0.758443930174684,-0.300462851319958
"27",-1.31175367878777,-0.303707495502526,-0.0671872203626316,-0.819138712773611,-2.22247603184925
"28",0.816186372343703,0.410415534462874,-0.431006199919375,-0.657285959176473,-0.774243582030044
"29",0.463829899019919,0.64845654445134,-0.496199196256133,-0.738212335975042,0
"30",-0.856374507845631,-0.0656664855140599,-0.467808697851416,-0.677517553376115,1.4922209946101
